Citations of Suicide after natural disasters (Retracted Article),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timespan: 1900-2025. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results found,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of the Times Cited,5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Citations per Item,43.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-index,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Natural disaster and depression: A prospective investigation of reactions to the 1993 Midwest Floods,"Ginexi, EM; Weihs, K; Simmens, SJ; Hoyt, DR",,,,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AUG 2000,2000,28,4,,,,495,518,,10.1023/A:1005188515149,,,126,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,8,6,8,6,9,4,6,4,5,7,4,4,2,9,8,9,6,2,3,4
Projected Behavioral Impacts of Global Climate Change,"Evans, Gary W.",,,"Fiske, ST","ANNUAL REVIEW OF PSYCHOLOGY, VOL 70",2019,2019,70,,,,,449,474,,10.1146/annurev-psych-010418-103023,,,125,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,26,12,26,22,16
Evaluating Local Government Emergency Management Programs: What Framework Should Public Managers Adopt?,"Henstra, Daniel",,,,PUBLIC ADMINISTRATION REVIEW,MAR-APR 2010,2010,70,2,,,,236,246,,10.1111/j.1540-6210.2010.02130.x,,,121,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,4,8,10,8,8,8,6,16,9,11,11,8
Human capital and the productivity of suicide bombers,"Benmelech, Efraim; Berrebi, Claude",,,,JOURNAL OF ECONOMIC PERSPECTIVES,SUM 2007,2007,21,3,,,,223,238,,10.1257/jep.21.3.223,,,108,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,6,7,4,6,4,11,5,8,8,9,9,7,7,3,2,0
Experiencing a Severe Weather Event Increases Concern About Climate Change,"Bergquist, Magnus; Nilsson, Andreas; Schultz, P. Wesley",,,,FRONTIERS IN PSYCHOLOGY,FEB 11 2019,2019,10,,,,,,,220,10.3389/fpsyg.2019.00220,,,105,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,17,29,13,27,16
Risk factors for the development of PTSD and depression among child and adolescent victims following a 7.4 magnitude earthquake,"Eksi, Aysel; Braun, Kathryn L.; Ertem-Vehid, Hayriye; Peykerli, Gulcan; Saydam, Reyhan; Toparlak, Derya; Alyanak, Behiye",,,,INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,2007,2007,11,3,,,,190,199,,10.1080/13651500601017548,,,81,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,5,8,5,3,9,5,2,7,3,4,1,5,9
Health status among internally displaced persons in Louisiana and Mississippi travel trailer parks,"Larrance, Ryan; Anastario, Michael; Lawry, Lynn",,,,ANNALS OF EMERGENCY MEDICINE,MAY 2007,2007,49,5,,,,590,601,,10.1016/j.annemergmed.2006.12.004,,,78,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,6,2,3,2,6,8,2,5,4,3,6,4,3,3,0
Corporate social responsibility: the role of Fortune 100 companies in domestic and international natural disasters,"Johnson, Brian R.; Connolly, Eric; Carter, Timothy S.",,,,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,NOV-DEC 2011,2011,18,6,,,,352,369,,10.1002/csr.253,,,67,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,5,4,5,2,12,4,7,6,7
Suicides after the 1999 Taiwan earthquake,"Chou, YJ; Huang, N; Lee, CH; Tsai, SL; Tsay, JH; Chen, LS; Chou, P",,,,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,DEC 2003,2003,32,6,,,,1007,1014,,10.1093/ije/dyg296,,,66,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,4,6,2,0,6,8,2,5,3,2,2,0,2,5,2,2,2,4
Who died as a result of the tsunami? Risk factors of mortality among internally displaced persons in Sri Lanka: a retrospective cohort analysis,"Nishikiori, N; Abe, T; Costa, DGM; Dharmaratne, SD; Kunii, O; Moji, K",,,,BMC PUBLIC HEALTH,MAR 20 2006,2006,6,,,,,,,73,10.1186/1471-2458-6-73,,,61,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,4,3,5,4,3,2,5,4,5,3,4,4,0,2,1
The association between natural disasters and violence: A systematic review of the literature and a call for more epidemiological studies,"Rezaeian, Mohsen",,,,JOURNAL OF RESEARCH IN MEDICAL SCIENCES,DEC 2013,2013,18,12,,,,1103,1107,,,,,60,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,2,6,14,13,8,3,5
Influence on the suicide rate two years after a devastating disaster: A report from the 1995 Great Hanshin-Awaji Earthquake,"Nishio, Akihiro; Akazawa, Kouhei; Shibuya, Futoshi; Abe, Ryo; Nushida, Hideyuki; Ueno, Yasuhiro; Nishimura, Akiyoshi; Shioiri, Toshiki",,,,PSYCHIATRY AND CLINICAL NEUROSCIENCES,2009,2009,63,2,,,,247,250,,10.1111/j.1440-1819.2009.01942.x,,,55,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,5,7,5,2,3,1,5,5,3,2,4,3
"Earthquake-related stressors associated with suicidality, depression, anxiety and post-traumatic stress in adolescents from Muisne after the earthquake 2016 in Ecuador","Gerstner, Rebekka M. F.; Lara-Lara, Fernando; Vasconez, Eduardo; Viscor, Gines; Jarrin, Juan D.; Ortiz-Prado, Esteban",,,,BMC PSYCHIATRY,JUL 2 2020,2020,20,1,,,,,,,10.1186/s12888-020-02759-x,,,53,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,16,21
Prevalence of depression among Bangladeshi village women subsequent to a natural disaster: A pilot study,"Mamun, Mohammed A.; Huq, Nafisa; Papia, Zinat Fatima; Tasfina, Sadia; Gozal, David",,,,PSYCHIATRY RESEARCH,JUN 2019,2019,276,,,,,124,128,,10.1016/j.psychres.2019.05.007,,,53,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,13,7,9,7,1
Suicidal intention and negative spiritual coping one year after the earthquake of L'Aquila (Italy),"Stratta, Paolo; Capanna, Cristina; Riccardi, Ilaria; Carmassi, Claudia; Piccinni, Armando; Dell'Osso, Liliana; Rossi, Alessandro",,,,JOURNAL OF AFFECTIVE DISORDERS,FEB 2012,2012,136,3,,,,1227,1231,,10.1016/j.jad.2011.10.006,,,53,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,7,2,4,4,6,3,2,3,5,2
