"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Kim, Y.; Lee, E.","Kim, Yujeong (57200941945); Lee, Eunmi (57202264064)","57200941945; 57202264064","The Suicidal Ideation of Disaster Victims: A Nationwide Cross-Sectional Study","2023","Psychology Research and Behavior Management","16","","","905","914","0","10.2147/PRBM.S405667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151754621&doi=10.2147%2FPRBM.S405667&partnerID=40&md5=42983dd9f0364ce06291531dc663a0b8","Dove Medical Press Ltd","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85151754621"
"Corvetto, J.F.; Helou, A.Y.; Dambach, P.; Müller, T.; Sauerborn, R.","Corvetto, Julia Feriato (58075829400); Helou, Ammir Yacoub (57226857953); Dambach, Peter (55122850800); Müller, Thomas Jörg (56383349000); Sauerborn, Rainer S. (7003791584)","58075829400; 57226857953; 55122850800; 56383349000; 7003791584","A Systematic Literature Review of the Impact of Climate Change on the Global Demand for Psychiatric Services","2023","International Journal of Environmental Research and Public Health","20","2","1190","","","13","10.3390/ijerph20021190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146799284&doi=10.3390%2Fijerph20021190&partnerID=40&md5=d5345f66fb1af6229f4f9a97a669fb5d","MDPI","Review","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85146799284"
"Goto, R.; Okubo, Y.; Skokauskas, N.","Goto, Ryunosuke (57209652604); Okubo, Yusuke (56414212000); Skokauskas, Norbert (25629856500)","57209652604; 56414212000; 25629856500","Reasons and trends in youth's suicide rates during the COVID-19 pandemic","2022","The Lancet Regional Health - Western Pacific","27","","100567","","","53","10.1016/j.lanwpc.2022.100567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136640083&doi=10.1016%2Fj.lanwpc.2022.100567&partnerID=40&md5=f12586af79475a48c6750b2e3f3b36e1","Elsevier Ltd","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85136640083"
"Cheng, X.; Wang, Y.; Wu, X.","Cheng, Xinbin (57854980100); Wang, Yudong (35091539100); Wu, Xi (57216650014)","57854980100; 35091539100; 57216650014","The effects of drought on stock prices: An industry-specific perspective","2022","Frontiers in Environmental Science","10","","978404","","","6","10.3389/fenvs.2022.978404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136498122&doi=10.3389%2Ffenvs.2022.978404&partnerID=40&md5=90eb72c9e1484455f10c4c1e9fe35731","Frontiers Media S.A.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85136498122"
"Zhang, R.; Zhang, Y.; Dai, Z.","Zhang, Rui (57373142000); Zhang, Yunzhi (57219575471); Dai, Zhe (57373684200)","57373142000; 57219575471; 57373684200","Impact of Natural Disasters on Mental Health: A Cross-Sectional Study Based on the 2014 China Family Panel Survey","2022","International Journal of Environmental Research and Public Health","19","5","2511","","","28","10.3390/ijerph19052511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124978014&doi=10.3390%2Fijerph19052511&partnerID=40&md5=7931aa665cef478a5c8ea50cfc61627b","MDPI","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85124978014"
"Spores, J.M.","Spores, John M. (57205554667)","57205554667","Psychological Assessment and Testing: A Clinician’s Guide, Second Edition","2022","","","","","1","638","1","10.4324/9780429326820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179249710&doi=10.4324%2F9780429326820&partnerID=40&md5=bc8289acdf7f49a9f8349c777592eec2","Taylor and Francis","Book","Final","","Scopus","2-s2.0-85179249710"
"Reckless, A.; McPhail, S.; Lillington, C.; Kingsley-Smith, B.","Reckless, Adam (57979487500); McPhail, Stuart (57980223400); Lillington, C. (57979487600); Kingsley-Smith, B. (57980413100)","57979487500; 57980223400; 57979487600; 57980413100","Beyond A to E: addressing the unfamiliar issues arising in the acute and immediate phase post-catastrophe","2022","BMJ Military Health","168","6","","426","430","0","10.1136/bmjmilitary-2021-002050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142496355&doi=10.1136%2Fbmjmilitary-2021-002050&partnerID=40&md5=61d5e6c4dbcd9b8d5080be7fb8cdf36c","BMJ Publishing Group","Review","Final","","Scopus","2-s2.0-85142496355"
"Khan, A.R.; Uddin, M.H.; Shimul, S.M.A.K.; Billah, M.","Khan, Anisur Rahman (56693426300); Uddin, Helal (57908188100); Shimul, Sayed Majadin Anowarul Kayes (57222748898); Billah, Md Masum (59618575700)","56693426300; 57908188100; 57222748898; 59618575700","CORONAVIRUS (COVID-19) AND SUICIDE IN BANGALADESH: SOME EXPLANATION THROUGH DURKHEIM'S SOCIOLOGY OF SUICIDE","2022","Journal of Community Positive Practices","22","3","","3","17","0","10.35782/JCPP.2022.3.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140017846&doi=10.35782%2FJCPP.2022.3.01&partnerID=40&md5=252d4730436515a9b92f98d75730eeec","Catalactica Association","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140017846"
"Rushton, A.; Phibbs, S.; Kenney, C.; Anderson, C.","Rushton, Ashleigh (57211366808); Phibbs, Suzanne R. (15923580300); Kenney, Christine M. (56576036600); Anderson, Cheryl L. (57213134319)","57211366808; 15923580300; 56576036600; 57213134319","‘She’ll be right’: the place of gendered emotions in disasters","2022","Gender, Place and Culture","29","6","","793","815","20","10.1080/0966369X.2021.1892595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121551878&doi=10.1080%2F0966369X.2021.1892595&partnerID=40&md5=d73e8c997ae8b76ac6e2b68664c88d98","Routledge","Article","Final","","Scopus","2-s2.0-85121551878"
"Fimiani, R.; Gazzillo, F.; Dazzi, N.; Bush, M.","Fimiani, Ramona (57207729511); Gazzillo, Francesco (12242283000); Dazzi, Nino (6602601761); Bush, Marshall (36780817800)","57207729511; 12242283000; 6602601761; 36780817800","Survivor guilt: Theoretical, empirical, and clinical features","2022","International Forum of Psychoanalysis","31","3","","176","190","21","10.1080/0803706X.2021.1941246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115135414&doi=10.1080%2F0803706X.2021.1941246&partnerID=40&md5=07bc57a143569d5e7108752f24807b7d","Routledge","Article","Final","","Scopus","2-s2.0-85115135414"
"Zhang, H.; Hook, J.N.; van Tongeren, D.R.V.; Davis, D.E.; McElroy-Heltzel, S.E.; Davis, E.B.; Aten, J.D.","Zhang, Hansong (57196154993); Hook, Joshua N. (16052590700); van Tongeren, Daryl R. (31067462900); Davis, Don E. (57215837239); McElroy-Heltzel, Stacey E. (57201641850); Davis, Edward B. (15041795800); Aten, Jamie D. (16244056300)","57196154993; 16052590700; 31067462900; 57215837239; 57201641850; 15041795800; 16244056300","The Role of Spiritual Fortitude in Meaning and Mental Health Symptoms Following a Natural Disaster","2022","Psychology of Religion and Spirituality","14","3","","406","415","12","10.1037/rel0000420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107840385&doi=10.1037%2Frel0000420&partnerID=40&md5=9c97c4a9358afef3c5b3f81cee3e07c6","American Psychological Association","Article","Final","","Scopus","2-s2.0-85107840385"
"Khan, A.R.; Shimul, S.M.A.K.; Arendse, N.","Khan, Anisur Rahman (56693426300); Shimul, Sayed Majadin Anowarul Kayes (57222748898); Arendse, Najuwa (25633934200)","56693426300; 57222748898; 25633934200","Suicidal behaviour and the coronavirus (COVID-19) pandemic: Insights from Durkheim's sociology of suicide","2021","International Social Science Journal","71","","","7","21","14","10.1111/issj.12269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103952668&doi=10.1111%2Fissj.12269&partnerID=40&md5=beb35415530ef8a053e90178d3e5af19","John Wiley and Sons Inc","Conference paper","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85103952668"
"Salam, R.; Ghose, B.; Shill, B.K.; Islam, M.A.; ISLAM, A.R.M.T.; Sattar, M.A.; Alam, G.M.M.; Ahmed, B.","Salam, Roquia (57210981104); Ghose, Bonosri (57218769293); Shill, Badhon Kumar (57216181566); Islam, Md Aminul (57206683467); ISLAM, Abu Reza Md Towfiqul (57218543677); Sattar, Md Abdus (56011283100); Alam, GM Monirul (21742954200); Ahmed, Bayes (55919919600)","57210981104; 57218769293; 57216181566; 57206683467; 57218543677; 56011283100; 21742954200; 55919919600","Perceived and actual risks of drought: household and expert views from the lower Teesta River Basin of northern Bangladesh","2021","Natural Hazards","108","3","","2569","2587","14","10.1007/s11069-021-04789-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106287727&doi=10.1007%2Fs11069-021-04789-4&partnerID=40&md5=148d7924d93b1c0d60c8756646ffac68","Springer Science and Business Media B.V.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85106287727"
"Horney, J.A.; Karaye, I.M.; Abuabara, A.; Gearhart, S.; Grabich, S.; Perez-Patron, M.","Horney, Jennifer A. (57206308250); Karaye, Ibraheem M. (55598638900); Abuabara, Alexander (57194284029); Gearhart, Sera M. (57202403423); Grabich, Shannon C. (55323147800); Perez-Patron, Maria J. (36468811700)","57206308250; 55598638900; 57194284029; 57202403423; 55323147800; 36468811700","The Impact of Natural Disasters on Suicide in the United States, 2003-2015","2021","Crisis","42","5","","328","334","28","10.1027/0227-5910/a000723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094867047&doi=10.1027%2F0227-5910%2Fa000723&partnerID=40&md5=4bcd04ae5e2cf5a46f9f6ae78129a941","Hogrefe Publishing GmbH","Article","Final","","Scopus","2-s2.0-85094867047"
"Tsai, J.; Elbogen, E.B.; Huang, M.; North, C.S.; Pietrzak, R.H.","Tsai, Jack (35590808700); Elbogen, Eric B. (57203069923); Huang, Minda (57203263508); North, Carol S. (7102686532); Pietrzak, Robert H. (34572624000)","35590808700; 57203069923; 57203263508; 7102686532; 34572624000","Psychological distress and alcohol use disorder during the COVID-19 era among middle- and low-income U.S. adults","2021","Journal of Affective Disorders","288","","","41","49","30","10.1016/j.jad.2021.03.085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103785159&doi=10.1016%2Fj.jad.2021.03.085&partnerID=40&md5=a0829d529d19b9c2e53cd9846b313153","Elsevier B.V.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85103785159"
"Xia, X.; Wu, X.; Zhou, X.; Zang, Z.; Pu, L.; Li, Z.","Xia, Xiaoxiao (57219778409); Wu, Xiaofang (57219773526); Zhou, Xueli (56168488700); Zang, Zhiyun (57218936699); Pu, Li (57189378049); Li, Zi (8852994900)","57219778409; 57219773526; 56168488700; 57218936699; 57189378049; 8852994900","Comparison of Psychological Distress and Demand Induced by COVID-19 during the Lockdown Period in Patients Undergoing Peritoneal Dialysis and Hemodialysis: A Cross-Section Study in a Tertiary Hospital","2021","Blood Purification","50","3","","319","327","18","10.1159/000510553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095458082&doi=10.1159%2F000510553&partnerID=40&md5=83f8df0d02d7e125e7b02b15230ae4f4","S. Karger AG","Article","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85095458082"
"Maleitzke, T.; Pumberger, M.; Gerlach, U.A.; Herrmann, C.; Slagman, A.; Henriksen, L.S.; von Mauchenheim, F.; Hüttermann, N.; Santos, A.N.; Fleckenstein, F.N.; Rauch, G.; Märdian, S.; Perka, C.; Stöckle, U.; Möckel, M.; Lindner, T.; Winkler, T.","Maleitzke, Tazio (55755833500); Pumberger, Matthias (39262340100); Gerlach, Undine Ariane (26432006800); Herrmann, Carolin (57205370674); Slagman, Anna Christine (36657628900); Henriksen, Louise Scheutz (57190951962); von Mauchenheim, Frederic (57222082833); Hüttermann, Nils (57222095752); Santos, Anabel N. (57222087819); Fleckenstein, Florian Nima (57057744200); Rauch, Geraldine (35799045000); Märdian, Sven (55446956600); Perka, Carsten Frank (35498324200); Stöckle, Ulrich C. (56054839800); Möckel, Martin (7005403142); Lindner, Tobias (59596444200); Winkler, Tobias (12799957600)","55755833500; 39262340100; 26432006800; 57205370674; 36657628900; 57190951962; 57222082833; 57222095752; 57222087819; 57057744200; 35799045000; 55446956600; 35498324200; 56054839800; 7005403142; 59596444200; 12799957600","Impact of the COVID-19 shutdown on orthopedic trauma numbers and patterns in an academic Level I Trauma Center in Berlin, Germany","2021","PLOS ONE","16","2 February","e0246956","","","27","10.1371/journal.pone.0246956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101384607&doi=10.1371%2Fjournal.pone.0246956&partnerID=40&md5=ec95c3c95245922df9b56056423274c4","Public Library of Science","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85101384607"
"Devassy, S.; Johnson, A.K.S.; Bhaisora, C.P.; Hatwal, P.","Devassy, Shinto (56823507900); Johnson, Abel K.Samuel (59663031600); Bhaisora, Chandra Prakash (58899919600); Hatwal, Pooja (57305881800)","56823507900; 59663031600; 58899919600; 57305881800","Paradoxes of suicide and psychological crisis-An Uttarakhand phenomenon during COVID-19 lockdown","2021","Journal of Indian Academy of Forensic Medicine","43","1","","65","67","2","10.5958/0974-0848.2021.00016.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177233054&doi=10.5958%2F0974-0848.2021.00016.6&partnerID=40&md5=be4d1b1f1bc25ca926364bb26cce308d","Indian Academy of Forensic Medicine","Article","Final","","Scopus","2-s2.0-85177233054"
"Díaz-Pacheco, V.; González-Román, F.; Isaza, C.; Richardson, T.; Whalin, R.; Cabrera-Ríos, M.","Díaz-Pacheco, Verónica (57297252900); González-Román, Frederick (57297662300); Isaza, Clara E. (54902596600); Richardson, Thomas William (56301170200); Whalin, Robert W. (57220288559); Cabrera-Ríos, Mauricio (6507063384)","57297252900; 57297662300; 54902596600; 56301170200; 57220288559; 6507063384","Individual response and recovery: A learning experience from Hurricane María","2021","Journal of Emergency Management","19","8","","157","165","1","10.5055/jem.0548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117219490&doi=10.5055%2Fjem.0548&partnerID=40&md5=c8e8000ac19fefa4b7dbdb1f802cf774","Weston Medical Publishing","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85117219490"
"Joy, L.K.J.; Ramachandran, M.; George, S.","Joy, Lijo Kochakadan (57822078300); Ramachandran, Manu (57221906131); George, Sanju (55579749800)","57822078300; 57221906131; 55579749800","Learned Helplessness, Psychological Wellbeing, and Proenvironment Care Behavior among Victims of Frequent Floods in Kerala","2021","Journal of Neurosciences in Rural Practice","12","1","","137","144","10","10.1055/s-0040-1721566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100525826&doi=10.1055%2Fs-0040-1721566&partnerID=40&md5=efeb16a1d0b717d77d2cca2dc62e54bc","Georg Thieme Verlag","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85100525826"
"Runkle, J.D.; Michael, K.D.; Stevens, S.E.; Sugg, M.M.","Runkle, Jennifer D. (55440986900); Michael, Kurt D. (7006745918); Stevens, Scott E. (26654550700); Sugg, Margaret Kovach (56789984200)","55440986900; 7006745918; 26654550700; 56789984200","Quasi-experimental evaluation of text-based crisis patterns in youth following Hurricane Florence in the Carolinas, 2018","2021","Science of the Total Environment","750","","141702","","","21","10.1016/j.scitotenv.2020.141702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089798760&doi=10.1016%2Fj.scitotenv.2020.141702&partnerID=40&md5=53d5a3d2e1fc777317acd7963ceb71bb","Elsevier B.V.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85089798760"
"Karácsonyi, D.; Taylor, A.","Karácsonyi, Dávid (26030445200); Taylor, A. J. (56111039200)","26030445200; 56111039200","The ontological praxis between disaster studies and demography-extension of the scope","2020","","","","","251","268","0","10.1007/978-3-030-49920-4_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148152969&doi=10.1007%2F978-3-030-49920-4_13&partnerID=40&md5=5753b9e8a2e1c1474ec68507462ebec0","Springer International Publishing","Book chapter","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85148152969"
"Gerstner, R.M.F.; Lara-Lara, F.; Vasconez-Gonzalez, E.; Viscor, G.; Jarrin, J.D.; Ortiz- Prado, E.","Gerstner, Rebekka Maria F. (57202079077); Lara-Lara, Fernando (57192951546); Vasconez-Gonzalez, Jorge (57196008560); Viscor, Ginés (7004439165); Jarrin, Juan D. (57217830441); Ortiz- Prado, Esteban (56037076100)","57202079077; 57192951546; 57196008560; 7004439165; 57217830441; 56037076100","Earthquake-related stressors associated with suicidality, depression, anxiety and post-traumatic stress in adolescents from Muisne after the earthquake 2016 in Ecuador","2020","BMC Psychiatry","20","1","347","","","59","10.1186/s12888-020-02759-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087632936&doi=10.1186%2Fs12888-020-02759-x&partnerID=40&md5=913eaea52ed8ecc6d685199fe4b08800","BioMed Central Ltd","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85087632936"
"Dumont, C.; Haase, E.; Dolber, T.; Lewis, J.; Coverdale, J.","Dumont, Caroline R. (57217654686); Haase, Elizabeth K. (57211500324); Dolber, Trygve R. (37050612700); Lewis, Janet L. (57217754005); Coverdale, John H. (7004676350)","57217654686; 57211500324; 37050612700; 57217754005; 7004676350","Climate Change and Risk of Completed Suicide","2020","Journal of Nervous and Mental Disease","208","7","","559","565","40","10.1097/NMD.0000000000001162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087465434&doi=10.1097%2FNMD.0000000000001162&partnerID=40&md5=79738aed979645aa8389974978682230","Lippincott Williams and Wilkins kathiest.clai@apta.org","Article","Final","","Scopus","2-s2.0-85087465434"
"Safarpour, H.; Sohrabizadeh, S.; Malekyan, L.; Safi-Keykaleh, M.; Pirani, D.; Daliri, S.; Bazyar, J.","Safarpour, Hamid (57194611459); Sohrabizadeh, Sanaz (56114724900); Malekyan, Leila (57201855500); Safi-Keykaleh, Meysam (57216036419); Pirani, Davoud (57207889785); Daliri, Salman (57192412181); Bazyar, Jafar (57192415652)","57194611459; 56114724900; 57201855500; 57216036419; 57207889785; 57192412181; 57192415652","Suicide Death Rate after Disasters: A Meta-Analysis Study","2020","Archives of Suicide Research","","","","1","14","34","10.1080/13811118.2020.1793045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088048356&doi=10.1080%2F13811118.2020.1793045&partnerID=40&md5=ccd95a600687ec9cc3ae07104257ffa8","Routledge info@tandf.co.uk","Review","Final","","Scopus","2-s2.0-85088048356"
"Jafari, H.; Heidari, M.; Heidari, S.; Sayfouri, N.","Jafari, Hamid (58257284100); Heidari, Mohammad (56494430400); Heidari, Samaneh (57202751448); Sayfouri, Nasrin (57190008163)","58257284100; 56494430400; 57202751448; 57190008163","Risk factors for suicidal behaviours after natural disasters: A systematic review","2020","Malaysian Journal of Medical Sciences","27","3","","20","33","47","10.21315/mjms2020.27.3.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087352127&doi=10.21315%2Fmjms2020.27.3.3&partnerID=40&md5=2e893bc131f3ae158d54b5d66c4c69ea","Penerbit Universiti Sains Malaysia fazlina@usm.my","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85087352127"
