"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Mazur, A.","Mazur, Allan C. (56210422200)","56210422200","American generation of environmental warnings: Avian influenza and global warming","2009","Human Ecology Review","16","1","","17","26","49","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56249100040&partnerID=40&md5=bc3303c2570bc9a461615ee3d31935d2","","Article","Final","","Scopus","2-s2.0-56249100040"
"Wainwright, J.; Mercer, K.L.","Wainwright, Joel D. (22936160600); Mercer, Kristin L. (13403556800)","22936160600; 13403556800","The dilemma of decontamination: A Gramscian analysis of the Mexican transgenic maize dispute","2009","Geoforum","40","3","","345","354","31","10.1016/j.geoforum.2008.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349237441&doi=10.1016%2Fj.geoforum.2008.09.013&partnerID=40&md5=5076e340287f2d5766c4b2cc9e905b63","","Article","Final","","Scopus","2-s2.0-67349237441"
"Canavari, M.; Nayga, R.M.","Canavari, Maurizio (12244213400); Nayga, Rodolfo M. (7003839193)","12244213400; 7003839193","On consumers' willingness to purchase nutritionally enhanced genetically modified food","2009","Applied Economics","41","1","","125","137","45","10.1080/00036840701367564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249140498&doi=10.1080%2F00036840701367564&partnerID=40&md5=85000468274d388ec846340710332812","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-58249140498"
"Sinclair, J.; Miller, B.","Sinclair, Janas (8093251300); Miller, Barbara M. (35090495900)","8093251300; 35090495900","Understanding Public Response to Technology Advocacy Campaigns: A Persuasion Knowledge Approach","2009","","","","","88","108","0","10.4324/9780203867631-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123672469&doi=10.4324%2F9780203867631-12&partnerID=40&md5=0a2af7e07513cc4f1cd89841284f03bf","Taylor and Francis","Book chapter","Final","","Scopus","2-s2.0-85123672469"
"Ahmed, F.E.","Ahmed, Farid E. (55708482300)","55708482300","Identification of Genetically Modified Organisms","2009","","","","","431","444","0","10.1016/B978-0-12-374537-8.00029-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902032231&doi=10.1016%2FB978-0-12-374537-8.00029-8&partnerID=40&md5=245657958d49b39eb3bb48f818d9a326","Elsevier Ltd.","Book chapter","Final","","Scopus","2-s2.0-84902032231"
"Siegrist, M.","Siegrist, Michael (7005920737)","7005920737","Factors influencing public acceptance of innovative food technologies and products","2008","Trends in Food Science and Technology","19","11","","603","608","425","10.1016/j.tifs.2008.01.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55649107054&doi=10.1016%2Fj.tifs.2008.01.017&partnerID=40&md5=58575c8bd0fee3a2a584fd9bde167927","","Article","Final","","Scopus","2-s2.0-55649107054"
"Quigley, K.F.","Quigley, Kevin F. (9251032700)","9251032700","Responding to Crises in the Modern Infrastructure: Policy Lessons from Y2K","2008","","","","","1","211","5","10.1057/9780230241640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003816168&doi=10.1057%2F9780230241640&partnerID=40&md5=f0ae0aa8e01b313168a72a5f4d92a055","Palgrave Macmillan","Book","Final","","Scopus","2-s2.0-85003816168"
"Vilella-Vila, M.; Costa-Font, J.","Vilella-Vila, Marta (24280830700); Costa-Font, Joan I. (8293209700)","24280830700; 8293209700","Press media reporting effects on risk perceptions and attitudes towards genetically modified (GM) food","2008","Journal of Socio-Economics","37","5","","2095","2106","84","10.1016/j.socec.2008.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50849107355&doi=10.1016%2Fj.socec.2008.04.006&partnerID=40&md5=e3a277909a925cbff8cc336a10cf04ac","","Article","Final","","Scopus","2-s2.0-50849107355"
"Siegrist, M.; Stampfli, N.; Kastenholz, H.; Keller, C.","Siegrist, Michael (7005920737); Stampfli, Nathalie (56320167600); Kastenholz, Hans G. (6602573289); Keller, Carmen (9532903300)","7005920737; 56320167600; 6602573289; 9532903300","Perceived risks and perceived benefits of different nanotechnology foods and nanotechnology food packaging","2008","Appetite","51","2","","283","290","259","10.1016/j.appet.2008.02.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649093804&doi=10.1016%2Fj.appet.2008.02.020&partnerID=40&md5=e4f0f4f9de290f7a7985e49f9f17dffe","","Article","Final","","Scopus","2-s2.0-44649093804"
"Lusk, J.L.; Rozan, A.","Lusk, Jayson L. (7004997535); Rozan, Anne (6507752955)","7004997535; 6507752955","Public policy and endogenous beliefs: The case of genetically modified food","2008","Journal of Agricultural and Resource Economics","33","2","","270","289","38","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50249148887&partnerID=40&md5=e4d123accc0ce294e1f78246d4d88254","","Article","Final","","Scopus","2-s2.0-50249148887"
"Mesoudi, A.; Danielson, P.","Mesoudi, Alex (23395070100); Danielson, Peter A. (56153402700)","23395070100; 56153402700","Ethics, evolution and culture","2008","Theory in Biosciences","127","3","","229","240","11","10.1007/s12064-008-0027-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48549106088&doi=10.1007%2Fs12064-008-0027-y&partnerID=40&md5=978891d62c61de6c994d1940c2db6f8d","","Article","Final","","Scopus","2-s2.0-48549106088"
"Chen, M.-F.","Chen, Mei Fiang (57129136700)","57129136700","An integrated research framework to understand consumer attitudes and purchase intentions toward genetically modified foods","2008","British Food Journal","110","6","","559","579","68","10.1108/00070700810877889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46249125061&doi=10.1108%2F00070700810877889&partnerID=40&md5=21f0ddd4ff47946e6a2ab3c0978523e5","","Article","Final","","Scopus","2-s2.0-46249125061"
"Christoph, I.B.; Bruhn, M.; Roosen, J.","Christoph, Inken B. (15051720800); Bruhn, Maike (24368567700); Roosen, Jutta (55418871000)","15051720800; 24368567700; 55418871000","Knowledge, attitudes towards and acceptability of genetic modification in Germany","2008","Appetite","51","1","","58","68","129","10.1016/j.appet.2007.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43049148641&doi=10.1016%2Fj.appet.2007.12.001&partnerID=40&md5=7924ff00fbaf3c9a63f5555f3ff61cb3","","Article","Final","","Scopus","2-s2.0-43049148641"
"Wolfe, D.W.; Ziska, L.H.; Petzoldt, C.; Seaman, A.; Chase, L.; Hayhoe, K.","Wolfe, David Walter (57212539450); Ziska, Lewis Hans (7004672190); Petzoldt, Curtis H. (6603314443); Seaman, Abby (15923846600); Chase, Larry E. (7007081017); Hayhoe, Katharine A.S. (6602415577)","57212539450; 7004672190; 6603314443; 15923846600; 7007081017; 6602415577","Projected change in climate thresholds in the Northeastern U.S.: Implications for crops, pests, livestock, and farmers","2008","Mitigation and Adaptation Strategies for Global Change","13","5-6","","555","575","116","10.1007/s11027-007-9125-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44149096733&doi=10.1007%2Fs11027-007-9125-2&partnerID=40&md5=30b8d7383e96c3e4810892881a0341f4","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-44149096733"
"Wiek, A.; Lang, D.J.; Siegrist, M.","Wiek, Arnim (8583970000); Lang, Daniel J. (57205105770); Siegrist, Michael (7005920737)","8583970000; 57205105770; 7005920737","Qualitative system analysis as a means for sustainable governance of emerging technologies: the case of nanotechnology","2008","Journal of Cleaner Production","16","8-9","","988","999","36","10.1016/j.jclepro.2007.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949164756&doi=10.1016%2Fj.jclepro.2007.04.009&partnerID=40&md5=82fc6f232ef01e0cf25e64e71787902f","","Article","Final","","Scopus","2-s2.0-38949164756"
"Dreezens, E.; Martijn, C.; Tenbült, P.; Kok, G.; de Vries, N.K.","Dreezens, Ellen (6508276754); Martijn, Carolien (7801366406); Tenbült, Petra (7801598149); Kok, Gerjo (7103006172); de Vries, Nanné Karel (7006108306)","6508276754; 7801366406; 7801598149; 7103006172; 7006108306","The missing link: On strengthening the relationship between values and attitudes","2008","Basic and Applied Social Psychology","30","2","","142","152","6","10.1080/01973530802209186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47249140839&doi=10.1080%2F01973530802209186&partnerID=40&md5=f1c4075a6bb229de17dfbd1ae2553f62","","Article","Final","All Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-47249140839"
"Schnettler, B.; Sepúlveda Bravo, O.; Ruiz Fuentes, D.; Denegri Coria, M.","Schnettler, Berta Lorena (23098265100); Sepúlveda Bravo, Oriana (24554394900); Ruiz Fuentes, Danilo (24554238400); Denegri Coria, Marianela Del Carmen (6603020270)","23098265100; 24554394900; 24554238400; 6603020270","Differentiated perception of transgenic tomato sauce in the southern Chile; Percepción diferenciada de salsa de tomate transgénica en el sur de Chile","2008","Archivos Latinoamericanos de Nutricion","58","1","","49","58","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49449114334&partnerID=40&md5=f4ab7ef8180470cad6071f422ef64971","","Article","Final","","Scopus","2-s2.0-49449114334"
"Botelho, D.; Kurtz, H.","Botelho, David (23970273500); Kurtz, Hilda E. (7005656207)","23970273500; 7005656207","The introduction of genetically modified food in the United States and the United Kingdom: A news analysis","2008","Social Science Journal","45","1","","13","27","15","10.1016/j.soscij.2007.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41049102333&doi=10.1016%2Fj.soscij.2007.11.001&partnerID=40&md5=8a29ad7ee0590b18c1031894fc622ec2","","Article","Final","","Scopus","2-s2.0-41049102333"
"Goldschmidt, R.; Schulz, M.","Goldschmidt, Rüdiger (36548016700); Schulz, Marlen (25229175100)","36548016700; 25229175100","Integrative analysis of the relationship between three assessment aspects of biotechnological applications: Perceived Benefit, perceived risk and the general support of a technology based on six German EurobarometerStudies (1991-2005); Die Beziehungsstruktur zwischen der Nutzen- und der Risikobewertung sowie der Unterstützung von Techniken im Bereich Biotechnologie: Integrative Untersuchung der Eurobarometer-Studien 1991-2005","2008","Sozialer Fortschritt","57","10-11","","264","272","0","10.3790/sfo.57.10-11.264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072714271&doi=10.3790%2Fsfo.57.10-11.264&partnerID=40&md5=0eb8472f6f06fe31fecb5dfb3dce3316","Duncker und Humblot GmbH verlag@duncker-humblot.de","Article","Final","","Scopus","2-s2.0-85072714271"
